,Occupation,Total Number of workers,Median weekly earnings,Number of workers Men,Median weekly earnings Men,Number of workers Women,Median weekly earnings Women,Gender_Gap
0,"Total, full-time wage and salary workers",117584.0,917.0,65007.0,1007.0,52577.0,821.0,18.470705064548167
1,"Management, professional, and related occupations",50119.0,1309.0,24260.0,1539.0,25859.0,1135.0,26.250812215724494
2,"Management, business, and financial operations occupations",20696.0,1415.0,11111.0,1598.0,9585.0,1221.0,23.591989987484354
3,Management occupations,13948.0,1478.0,8002.0,1659.0,5946.0,1266.0,23.68896925858951
4,Chief executives,1113.0,2380.0,812.0,2509.0,302.0,2019.0,19.52969310482264
5,General and operations managers,990.0,1384.0,678.0,1476.0,312.0,1153.0,21.883468834688347
8,Marketing and sales managers,1109.0,1600.0,591.0,1895.0,518.0,1393.0,26.49076517150396
10,Administrative services managers,154.0,1235.0,93.0,1277.0,61.0,1084.0,15.11354737666406
11,Computer and information systems managers,629.0,1984.0,439.0,2019.0,190.0,1892.0,6.29024269440317
12,Financial managers,1142.0,1447.0,523.0,1897.0,619.0,1207.0,36.37322087506589
14,Human resources managers,299.0,1592.0,69.0,1829.0,230.0,1538.0,15.910333515582288
16,Industrial production managers,270.0,1472.0,208.0,1469.0,62.0,1497.0,-1.9060585432266741
17,Purchasing managers,214.0,1539.0,129.0,1657.0,84.0,1390.0,16.113458056729023
20,Construction managers,610.0,1468.0,539.0,1511.0,71.0,1210.0,19.9205823957644
21,Education administrators,811.0,1371.0,276.0,1467.0,536.0,1335.0,8.997955010224945
23,Food service managers,785.0,863.0,420.0,964.0,365.0,719.0,25.414937759336098
26,Lodging managers,116.0,975.0,61.0,1096.0,55.0,894.0,18.430656934306565
27,Medical and health services managers,578.0,1478.0,169.0,1828.0,409.0,1362.0,25.492341356673965
30,"Property, real estate, and community association managers",438.0,954.0,214.0,1168.0,224.0,849.0,27.31164383561644
31,Social and community service managers,403.0,1243.0,143.0,1452.0,260.0,1156.0,20.385674931129472
33,"Managers, all other",3497.0,1533.0,2088.0,1725.0,1409.0,1317.0,23.652173913043473
34,Business and financial operations occupations,6748.0,1285.0,3109.0,1468.0,3639.0,1148.0,21.798365122615802
