,location,time,gender_pay_gap,gini,Unnamed: 0,prct_f_employed_ICT
0,AUS,2005,15.777777777999999,,,
1,AUS,2006,16.666666667,,,
2,AUS,2007,15.4,,,
3,AUS,2008,11.937377690999998,,,
4,AUS,2009,16.363636364,,,
5,AUS,2010,14.04293381,,,
6,AUS,2011,15.966386555,,,
7,AUS,2012,13.75,0.326,,
8,AUS,2013,18.0,,,
9,AUS,2014,15.384615385,0.337,,
10,AUS,2015,13.0,,,
11,AUS,2016,11.538461538,0.33,,
12,AUS,2017,11.664190193,,,
13,AUS,2018,11.714285714,,,
14,AUT,2005,22.032085753,,,
15,AUT,2006,21.855130427,,,
16,AUT,2007,21.634276365999998,0.284,,
17,AUT,2008,20.917320274,0.281,,
18,AUT,2009,19.355965917,0.289,95.0,19.3
19,AUT,2010,19.188862682,0.28,251.0,19.6
20,AUT,2011,18.550554118,0.281,407.0,13.2
21,AUT,2012,18.185056842999998,0.275,563.0,16.7
22,AUT,2013,18.053211411,0.27899999999999997,719.0,14.0
23,AUT,2014,17.728884245,0.27399999999999997,875.0,13.3
24,AUT,2015,17.04325299,0.276,1031.0,14.2
25,AUT,2016,15.670899643,0.284,1187.0,17.2
26,AUT,2017,15.38215397,,1343.0,15.6
27,BEL,2005,11.511092507,0.27699999999999997,,
28,BEL,2006,10.253267974,0.268,,
29,BEL,2007,9.8736176935,0.27699999999999997,,
30,BEL,2008,8.9157536834,0.266,,
31,BEL,2009,7.4804614812,0.272,19.0,15.8
32,BEL,2010,7.043795620399999,0.267,175.0,17.1
33,BEL,2011,5.8381088825,0.27,331.0,15.2
34,BEL,2012,6.411149825800001,0.265,487.0,17.1
35,BEL,2013,5.912863070499999,0.265,643.0,15.5
36,BEL,2014,3.2989003665,0.266,799.0,15.2
37,BEL,2015,4.672,0.268,955.0,15.1
38,BEL,2016,3.7012987013,0.266,1111.0,14.1
39,CAN,2005,21.25,0.315,,
40,CAN,2006,21.123321123,0.316,,
41,CAN,2007,20.808235294,0.317,,
42,CAN,2008,20.454545455,0.315,,
43,CAN,2009,20.131868132,0.316,,
44,CAN,2010,18.977469670999998,0.316,,
45,CAN,2011,19.175531915,0.313,,
46,CAN,2012,19.511231281,0.317,,
47,CAN,2013,19.30323498,0.32,,
48,CAN,2014,19.229,0.313,,
49,CAN,2015,18.62745098,0.318,,
50,CAN,2016,18.221153846,0.307,,
51,CAN,2017,18.17322239,0.31,,
52,CAN,2018,18.518518519,,,
53,CZE,2005,15.93892946,0.261,,
54,CZE,2006,15.351766205999999,0.26,,
55,CZE,2007,16.931531878,0.256,,
56,CZE,2008,17.873019877,0.259,,
57,CZE,2009,15.105017965,0.257,,
58,CZE,2010,15.798503074000001,0.259,,
59,CZE,2011,16.329656698,0.257,,
60,CZE,2012,15.262979875,0.253,,
61,CZE,2013,15.378835315999998,0.259,,
62,CZE,2014,16.254560195,0.257,,
63,CZE,2015,16.455154158,0.258,,
64,CZE,2016,16.023430838,0.253,,
65,CZE,2017,15.614010894000002,,,
66,CZE,2018,15.127413864000001,,,
67,DNK,2005,10.167330437999999,,,
68,DNK,2006,10.172061258,,,
69,DNK,2007,9.8502979507,,,
