,Overall score of the Index,Domain score,Sub-domain score,Gender gap metric,Gender gap metric,Sub-domain score,Gender gap metric,Gender gap metric,Gender gap metric,Domain score,Sub-domain score,Gender gap metric,Gender gap metric,Sub-domain score,Gender gap metric,Gender gap metric,Domain score,Sub-domain score,Gender gap metric,Gender gap metric,Sub-domain score,Gender gap metric,Domain score,Sub-domain score,Gender gap metric,Gender gap metric,Sub-domain score,Gender gap metric,Gender gap metric,Domain score,Sub-domain score,Gender gap metric,Gender gap metric,Gender gap metric,Sub-domain score,Gender gap metric,Gender gap metric,Sub-domain score,Gender gap metric,Gender gap metric,Gender gap metric,Domain score,Sub-domain score,Gender gap metric,Gender gap metric,Gender gap metric,Sub-domain score,Gender gap metric,Gender gap metric,Sub-domain score,Gender gap metric,Gender gap metric,,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Reference to population,Reference to population,Reference to population,Reference to population,Reference to population,Reference to population
Country,Gender Equality Index,WORK,Participation,FTE employment rate (%),Duration of working life (years),Segregation and quality of work,"Employed people in education, human health and social work activities (%)",Ability to take one hour or two off during working hours to take care of personal or family matters (%),"Career Prospects Index (points, 0-100)",MONEY,Financial resources,Mean monthly earnings (PPS),Mean equivalised net income (PPS),Economic situation,Not at-risk-of-poverty (%),Income distribution S20/80,KNOWLEDGE,Attainment and participation,Graduates of tertiary education (%),People participating in formal or non-formal education (%),Segregation,"Tertiary students in education, health and welfare, humanities and arts (%)",TIME,Care activities,"People caring for and educating their children or grandchildren, elderly or people with disabilities, every day (%)","People doing cooking and/or housework, every day (%)",Social activities,"Workers doing sporting, cultural or leisure activities outside of their home, at least daily or several times a week (%)","Workers involved in voluntary or charitable activities, at least once a month (%)",POWER,Political,Share of ministers (%),Share of members of parliament (%),Share of members of regional assemblies (%),Economic,"Share of members of boards in largest quoted companies, supervisory board or board of directors (%)",Share of board members of central bank (%),Social,Share of board members of research funding organisations (%),Share of board members of publically owned broadcasting organisations (%) ,Share of members of highest decision making body of the national Olympic sport organisations (%) ,HEALTH,Status,"Self-perceived health, good or very good (%)",Life expectancy at birth (years),Healthy life years at birth (years),Behaviour,People who don't smoke and are not involved in harmful drinking (%),People doing physical activities and/or consuming fruits and vegetables (%),Access,Population without unmet needs for medical examination (%),Population without unmet needs for dental examination (%),,Full-time equivalent employment rate (%) W,Full-time equivalent employment rate (%) M,Full-time equivalent employment rate (%) T,Duration of working life (years) W,Duration of working life (years) M,Duration of working life (years) T,"Employed people in education, human health and social work activities (%) W","Employed people in education, human health and social work activities (%) M","Employed people in education, human health and social work activities (%) T",Ability to take one hour or two off during working hours to take care of personal or family matters (%) W,Ability to take one hour or two off during working hours to take care of personal or family matters (%) M,Ability to take one hour or two off during working hours to take care of personal or family matters (%) T,"Career Prospects Index (points, 0-100) W","Career Prospects Index (points, 0-100) M","Career Prospects Index (points, 0-100) T",Mean monthly earnings (PPS) W,Mean monthly earnings (PPS) M,Gender Wage Gap mean monthly earnings,Mean monthly earnings (PPS) T,Mean equivalised net income (PPS) W,Mean equivalised net income (PPS) M,Mean equivalised net income (PPS) T,Not at-risk-of-poverty (%) W,Not at-risk-of-poverty (%) M,Not at-risk-of-poverty (%) T,Income distribution S20/S80 (%) W,Income distribution S20/S80 (%) M,Income distribution S20/S80 (%) T,Graduates of tertiary education (%) W,Graduates of tertiary education (%) M,Graduates of tertiary education (%) T,People participating in formal or non-formal education (%) W,People participating in formal or non-formal education (%) M,People participating in formal or non-formal education (%) T,"Tertiary students in education, health and welfare, humanities and arts (%) W","Tertiary students in education, health and welfare, humanities and arts (%) M","Tertiary students in education, health and welfare, humanities and arts (%) T","People caring for and educating their children or grandchildren, elderly or people with disabilities, every day (%) W","People caring for and educating their children or grandchildren, elderly or people with disabilities, every day (%) M","People caring for and educating their children or grandchildren, elderly or people with disabilities, every day (%) T","People doing cooking and/or household, every day (%) W","People doing cooking and/or household, every day (%) M","People doing cooking and/or household, every day (%) T","Workers doing sporting, cultural or leisure activities outside of their home, at least daily or several times a week (%) W","Workers doing sporting, cultural or leisure activities outside of their home, at least daily or several times a week (%) M","Workers doing sporting, cultural or leisure activities outside of their home, at least daily or several times a week (%) T","Workers involved in voluntary or charitable activities, at least once a month (%) W","Workers involved in voluntary or charitable activities, at least once a month (%) M","Workers involved in voluntary or charitable activities, at least once a month (%) T",Share of ministers (%) W,Share of ministers (%) M,Share of ministers (%) T,Share of members of parliament (%) W,Share of members of parliament (%) M,Share of members of parliament (%) T,Share of members of regional assemblies (%) W,Share of members of regional assemblies (%) M,Share of members of regional assemblies (%) T,"Share of members of boards in largest quoted companies, supervisory board or board of directors (%) W","Share of members of boards in largest quoted companies, supervisory board or board of directors (%) M","Share of members of boards in largest quoted companies, supervisory board or board of directors (%) T",Share of board members of central bank (%) W,Share of board members of central bank (%) M,Share of board members of central bank (%) T,Share of board members of research funding organisations (%) W,Share of board members of research funding organisations (%) M,Share of board members of research funding organisations (%) T,Share of board members of publically owned broadcasting organisations (%)  W,Share of board members of publically owned broadcasting organisations (%)  M,Share of board members of publically owned broadcasting organisations (%)  T,Share of members of highest decision making body of the national Olympic sport organisations (%)  W,Share of members of highest decision making body of the national Olympic sport organisations (%)  M,Share of members of highest decision making body of the national Olympic sport organisations (%)  T,"Self-perceived health, good or very good (%) W","Self-perceived health, good or very good (%) M","Self-perceived health, good or very good (%) T",Life expectancy at birth (years) W,Life expectancy at birth (years) M,Life expectancy at birth (years) T,Healthy life years at birth (years) W,Healthy life years at birth (years) M,Healthy life years at birth (years) T,People who don't smoke and are not involved in harmful drinking (%) W,People who don't smoke and are not involved in harmful drinking (%) M,People who don't smoke and are not involved in harmful drinking (%) T,People doing physical activities and/or consuming fruits and vegetables (%) W,People doing physical activities and/or consuming fruits and vegetables (%) M,People doing physical activities and/or consuming fruits and vegetables (%) T,Population without unmet needs for medical examination (%) W,Population without unmet needs for medical examination (%) M,Population without unmet needs for medical examination (%) T,Population without unmet needs for dental examination (%) W,Population without unmet needs for dental examination (%) M,Population without unmet needs for dental examination (%) T,Population (number) W,Population (number) M,Population (number) T,Population (%) W,Population (%) M,Population (%) T
EU-28,62.0,70.0,77.5,73.4,81.6,63.3,33.6,63.2,93.1,73.9,60.9,60.7,61.1,89.7,95.0,84.4,60.8,67.0,69.5,64.5,55.2,55.2,66.7,69.9,79.6,60.2,63.6,67.1,60.0,38.9,43.8,40.4,40.5,50.5,25.0,20.1,29.8,53.6,76.5,58.2,26.2,85.9,88.5,83.3,92.4,89.6,75.4,77.3,73.5,95.1,95.0,95.1,,40.5,59.4,49.5,30.2,36.7,33.5,27.8,7.5,16.5,22.8,27.3,25.1,63.7,62.6,63.2,"1,501","2,467",39.16%,"2,222","12,645","13,297","12,959",83.7,85.6,84.6,22.1,21.5,21.8,18.0,17.8,17.9,17.5,16.5,17.0,43.5,21.3,33.5,43.3,28.5,36.2,80.1,34.2,58.0,27.5,31.9,29.8,13.3,12.9,13.1,21.1,78.9,100.0,21.2,78.8,100.0,26.4,73.6,100.0,10.4,89.6,100.0,15.5,84.5,100.0,39.9,60.1,100.0,30.5,69.5,100.0,13.6,86.4,100.0,60.3,66.4,63.2,80.4,73.9,77.2,61.4,59.9,60.6,72.4,52.2,62.8,36.1,40.1,38.0,90.6,91.9,91.2,89.8,89.9,89.8,"205,473,251","190,389,112","395,862,363",51.9%,48.1%,100.0%
BE,66.0,71.0,72.3,66.1,78.5,69.8,40.3,73.1,96.0,81.3,73.9,79.0,68.8,89.5,95.6,83.4,68.1,70.7,79.8,61.5,65.7,65.7,74.3,76.9,80.0,73.8,71.8,72.2,71.5,39.8,65.7,51.6,68.3,77.1,18.9,12.8,25.0,50.7,77.1,52.0,22.9,86.3,92.1,90.3,94.2,91.9,70.3,75.9,64.7,99.2,99.6,98.7,,34.7,55.4,44.4,28.1,34.6,31.4,35.6,10.4,21.4,29.5,33.2,31.5,66.5,66.2,66.4,"2,296","2,623",12.47%,"2,485","16,635","18,593","17,587",84.9,87.0,85.9,26.9,22.7,24.6,23.8,23.5,23.6,14.8,15.3,15.0,50.0,28.0,39.9,48.3,32.1,40.4,82.3,47.8,65.6,32.3,38.7,35.7,19.6,18.6,19.0,26.8,73.2,100.0,35.5,64.5,100.0,40.0,60.0,100.0,6.3,93.7,100.0,12.8,87.2,100.0,40.0,60.0,100.0,27.0,73.0,100.0,11.7,88.3,100.0,70.3,76.2,73.1,81.9,76.2,79.1,62.3,62.4,62.4,68.3,50.1,59.5,29.5,36.4,32.9,99.0,99.1,99.0,97.0,97.4,97.2,"4,275,415","4,003,552","8,278,967",51.6%,48.4%,100.0%
BG,56.0,67.3,77.9,76.1,79.8,58.1,26.6,55.6,92.0,54.3,33.5,33.8,33.3,88.1,93.7,82.5,52.5,53.0,57.8,48.3,51.9,51.9,50.9,64.7,69.8,59.7,40.1,39.8,40.3,48.4,49.1,52.7,47.1,47.6,33.2,34.5,32.0,69.2,85.3,83.8,38.6,72.6,86.6,78.1,89.0,92.7,52.3,72.4,32.2,84.4,84.5,84.3,,39.6,49.4,44.3,27.7,31.3,29.6,20.7,5.0,12.3,20.3,31.3,25.8,62.3,65.6,63.9,410,470,12.77%,441,"3,638","3,803","3,717",81.7,84.2,82.9,20.3,20.2,20.2,18.8,14.1,16.5,9.2,9.9,9.6,26.4,16.5,21.7,39.2,20.8,30.3,89.9,37.9,64.8,11.7,19.5,15.6,5.6,5.6,5.6,27.6,72.4,100.0,24.7,75.3,100.0,24.9,75.1,100.0,18.0,82.0,100.0,16.7,83.3,100.0,44.4,55.6,100.0,60.0,40.0,100.0,20.2,79.8,100.0,55.3,66.1,60.5,76.2,69.0,72.6,71.9,66.2,69.1,67.5,46.7,57.9,9.4,18.2,13.5,73.0,77.0,74.9,71.4,73.6,72.5,"3,282,615","3,044,971","6,327,586",51.9%,48.1%,100.0%
CZ,53.6,65.3,79.6,77.2,82.0,53.6,25.3,44.9,90.6,70.2,50.6,50.7,50.6,97.4,98.8,96.1,52.2,52.0,45.3,58.7,52.4,52.4,51.2,55.8,80.2,31.3,47.1,60.0,34.2,29.6,28.6,24.2,27.6,33.9,25.8,19.5,32.0,35.1,57.4,33.6,14.3,84.6,86.7,80.4,91.9,88.0,72.3,79.4,65.1,96.7,96.2,97.2,,44.4,64.1,53.8,30.4,36.8,33.7,23.6,5.1,13.1,11.0,10.6,10.8,65.4,60.9,63.1,"1,001","1,322",24.28%,"1,183","8,656","9,151","8,895",90.3,91.8,91.1,28.1,27.7,27.9,8.8,12.1,10.4,13.4,13.6,13.5,46.1,20.6,34.0,38.0,25.4,31.9,68.8,12.4,41.7,22.6,27.8,25.2,8.5,5.4,6.7,12.5,87.5,100.0,14.3,85.7,100.0,17.7,82.3,100.0,10.0,90.0,100.0,16.7,83.3,100.0,30.0,70.0,100.0,17.5,82.5,100.0,7.2,92.8,100.0,56.2,62.0,58.9,79.2,72.9,76.1,60.0,58.0,59.0,72.7,54.2,63.8,30.1,37.5,33.6,92.5,93.1,92.8,95.2,94.2,94.8,"4,299,258","3,995,629","8,294,887",51.8%,48.2%,100.0%
DK,74.6,78.9,88.5,84.2,92.7,70.3,43.2,69.3,98.3,82.7,71.2,72.7,69.6,96.1,97.4,94.9,73.7,81.1,80.9,81.3,67.0,67.0,82.7,89.4,93.5,85.4,76.5,93.0,60.0,54.7,65.8,56.3,74.5,66.5,45.7,22.6,68.7,54.6,72.4,57.5,33.8,91.1,94.3,92.4,94.4,96.2,81.7,70.5,92.9,98.2,99.4,97.1,,49.7,64.0,56.4,37.1,40.8,39.0,40.8,11.7,25.2,31.8,50.1,41.4,72.9,70.4,71.7,"2,087","2,651",21.27%,"2,362","16,456","17,230","16,835",87.4,88.1,87.7,28.7,27.5,28.1,26.6,24.8,25.7,32.7,27.9,30.3,61.3,30.6,48.2,30.8,27.0,28.9,80.6,59.9,70.5,52.8,50.5,51.6,14.5,19.1,16.9,28.8,71.3,100.0,38.1,61.9,100.0,34.0,66.0,100.0,11.3,88.7,100.0,35.1,64.9,100.0,37.0,63.0,100.0,29.4,70.6,100.0,17.1,82.9,100.0,73.6,79.8,76.6,80.5,76.0,78.3,68.4,68.4,68.4,60.7,43.7,52.3,68.2,59.1,63.6,99.0,98.6,98.8,94.8,93.9,94.4,"2,147,248","2,059,915","4,207,162",51.0%,49.0%,100.0%
DE,60.0,68.1,75.6,66.1,85.0,61.4,36.2,53.4,94.8,83.3,73.7,76.5,71.0,94.1,96.8,91.4,55.3,56.7,55.2,58.2,53.9,53.9,66.6,69.5,74.7,64.3,63.8,59.8,67.7,34.0,67.4,80.4,59.6,62.3,11.9,22.8,1.0,49.1,70.6,45.6,31.2,86.6,87.5,81.9,94.6,85.9,80.9,73.3,88.4,91.9,90.6,93.2,,34.8,56.1,44.9,32.4,38.6,35.6,27.6,8.1,16.9,15.8,18.2,17.0,67.9,65.5,66.7,"2,299","2,988",23.06%,"2,688","17,230","18,264","17,722",86.9,88.6,87.7,26.2,25.3,25.7,14.7,24.2,19.3,13.8,15.5,14.6,52.8,22.8,37.7,37.2,22.1,30.0,83.5,39.2,62.4,21.8,25.2,23.5,17.5,16.6,17.0,41.7,58.3,100.0,31.0,69.0,100.0,32.3,67.7,100.0,11.7,88.3,100.0,0.0,100.0,100.0,36.6,63.4,100.0,23.7,76.3,100.0,16.1,83.9,100.0,57.7,62.6,60.1,82.0,76.7,79.4,54.8,54.5,54.7,63.3,46.6,55.1,50.8,53.1,51.9,82.4,83.8,83.1,87.2,86.5,86.9,"34,926,855","32,749,624","67,676,479",51.6%,48.4%,100.0%
EE,52.2,71.0,87.2,84.0,90.4,57.9,24.7,54.2,94.7,58.4,41.4,42.6,40.2,82.2,93.2,71.2,49.5,66.7,71.9,61.5,36.8,36.8,74.6,83.2,86.3,80.0,66.9,74.0,59.8,22.5,36.0,24.7,32.3,51.0,22.9,23.9,21.9,13.8,1.0,21.9,18.5,81.0,80.7,75.9,86.8,79.4,70.1,65.6,74.7,93.7,95.4,92.1,,47.9,58.2,52.5,33.8,34.2,34.0,24.8,4.8,14.9,15.4,15.8,15.6,64.8,65.8,65.3,785,"1,143",31.32%,931,"5,519","6,018","5,742",81.1,83.8,82.3,18.5,16.1,17.3,31.9,22.5,27.5,15.2,16.4,15.7,38.4,11.9,28.2,50.1,37.9,44.6,81.1,53.8,69.0,33.5,38.4,35.7,13.8,16.6,15.2,14.1,85.9,100.0,18.5,81.5,100.0,29.0,71.0,100.0,13.7,86.3,100.0,12.5,87.5,100.0,0.0,100.0,100.0,12.5,87.5,100.0,10.5,89.5,100.0,50.8,57.4,53.8,78.1,67.3,72.7,52.4,48.3,50.4,74.0,43.2,58.2,35.4,35.8,35.6,90.6,90.7,90.7,84.5,85.2,84.8,"595,187","491,873","1,087,060",54.8%,45.2%,100.0%
IE,61.9,71.1,75.1,72.7,77.5,67.4,26.8,80.9,94.4,79.5,73.6,76.0,71.2,85.8,92.4,79.3,60.8,67.1,75.8,58.4,55.1,55.1,74.2,69.9,77.4,62.5,78.6,80.6,76.6,32.1,29.9,28.1,27.0,34.6,15.3,12.0,18.6,72.3,98.8,85.9,32.4,90.4,95.3,98.9,95.2,91.9,79.0,72.4,85.7,98.1,98.3,98.0,,42.5,69.5,55.5,29.1,39.9,34.6,29.4,6.1,16.0,37.1,43.4,40.4,64.1,64.6,64.3,"2,324","3,056",23.95%,"2,683","17,360","18,435","17,890",79.6,82.3,80.9,20.5,19.3,19.8,24.7,22.2,23.5,14.9,13.7,14.3,43.5,21.3,33.5,49.8,31.3,40.7,73.0,32.9,53.3,40.4,48.4,44.6,21.1,22.1,21.7,14.0,86.0,100.0,13.4,86.6,100.0,17.3,82.7,100.0,5.7,94.3,100.0,9.1,90.9,100.0,50.0,50.0,100.0,43.5,56.5,100.0,16.2,83.8,100.0,81.9,83.6,82.7,81.6,77.2,79.4,64.0,62.9,63.5,65.8,46.5,56.3,48.4,47.2,47.8,96.9,98.1,97.5,95.7,96.4,96.0,"1,563,935","1,525,854","3,089,789",50.6%,49.4%,100.0%
EL,46.8,62.5,68.0,63.8,72.2,57.5,36.9,51.5,84.0,71.9,62.2,63.5,60.9,83.2,91.8,74.6,47.2,54.3,59.5,49.0,41.0,41.0,46.2,50.3,63.9,36.7,42.5,39.6,45.4,18.2,24.3,11.4,22.8,38.7,10.4,15.0,5.8,24.1,22.2,32.9,17.1,84.6,94.0,93.1,94.8,94.0,66.6,80.2,53.0,96.6,96.5,96.7,,34.4,61.0,47.3,25.8,37.0,31.6,19.7,7.4,12.2,14.4,16.1,15.4,52.2,51.0,51.6,"1,577","2,069",23.78%,"1,859","12,476","12,928","12,696",78.8,81.9,80.3,16.9,17.9,17.4,13.9,16.1,15.0,9.3,9.6,9.4,35.7,13.9,25.0,43.7,20.3,32.3,84.8,18.6,52.4,11.0,17.6,14.7,7.6,7.3,7.4,5.5,94.5,100.0,11.4,88.6,100.0,19.7,80.3,100.0,7.3,92.7,100.0,2.5,97.5,100.0,11.1,88.9,100.0,16.7,83.3,100.0,8.4,91.6,100.0,74.6,80.4,77.4,81.6,76.8,79.2,67.4,65.9,66.7,70.4,54.2,62.8,19.8,24.7,22.2,93.2,94.1,93.6,92.9,93.1,93.0,"4,560,640","4,378,136","8,938,776",51.0%,49.0%,100.0%
