,Overall score of the Index,Domain score,Sub-domain score,Sub-domain score,Domain score,Sub-domain score,Sub-domain score,Domain score,Sub-domain score,Sub-domain score,Domain score,Sub-domain score,Sub-domain score,Domain score,Sub-domain score,Sub-domain score,Sub-domain score,Domain score,Sub-domain score,Sub-domain score,Sub-domain score,,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,,Indicator,Indicator,,,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator,Indicator
Country,Gender Equality Index,Work,Participation,Segregation and quality of work,Money,Financial resources,Economic situation,Knowledge,Attainment and participation,Segregation,Time,Care activities,Social activities,Power,Political,Economic,Social,Health,Status,Behaviour,Access,,Full-time equivalent employment rate (%) W,Full-time equivalent employment rate (%) M,Duration of working life (years) W,Duration of working life (years) M,"Employed people in education, human health and social work activities (%) W","Employed people in education, human health and social work activities (%) M",Ability to take one hour or two off during working hours to take care of personal or family matters (%) W,Ability to take one hour or two off during working hours to take care of personal or family matters (%) M,"Career Prospects Index (points, 0-100) W","Career Prospects Index (points, 0-100) M",Mean monthly earnings (PPS) W,Mean monthly earnings (PPS) M,Gender Wage Gap mean monthly earnings,Mean equivalised net income (PPS) W,Mean equivalised net income (PPS) M,Gender Wage Gap net income,Difference two wage gaps,Not at-risk-of-poverty (%) W,Not at-risk-of-poverty (%) M,Income distribution S20/S80 (%) W,Income distribution S20/S80 (%) M,Graduates of tertiary education (%) W,Graduates of tertiary education (%) M,People participating in formal or non-formal education (%) W,People participating in formal or non-formal education (%) M,"Tertiary students in education, health and welfare, humanities and arts (%) W","Tertiary students in education, health and welfare, humanities and arts (%) M","People caring for and educating their children or grandchildren, elderly or people with disabilities, every day (%) W","People caring for and educating their children or grandchildren, elderly or people with disabilities, every day (%) M","People doing cooking and/or housework, every day (%) W","People doing cooking and/or housework, every day (%) M","Workers doing sporting, cultural or leisure activities outside of their home, at least daily or several times a week (%) W","Workers doing sporting, cultural or leisure activities outside of their home, at least daily or several times a week (%) M","Workers involved in voluntary or charitable activities, at least once a month (%) W","Workers involved in voluntary or charitable activities, at least once a month (%) M",Share of ministers (%) W,Share of ministers (%) M,Share of members of parliament (%) W,Share of members of parliament (%) M,Share of members of regional assemblies (%) W,Share of members of regional assemblies (%) M,"Share of members of boards in largest quoted companies, supervisory board or board of directors (%) W","Share of members of boards in largest quoted companies, supervisory board or board of directors (%) M",Share of board members of central bank (%) W,Share of board members of central bank (%) M,Share of board members of research funding organisations (%) W,Share of board members of research funding organisations (%) M,Share of board members of publically owned broadcasting organisations (%)  W,Share of board members of publically owned broadcasting organisations (%)  M,Share of members of highest decision making body of the national Olympic sport organisations (%)  W,Share of members of highest decision making body of the national Olympic sport organisations (%)  M,"Self-perceived health, good or very good (%) W","Self-perceived health, good or very good (%) M",Life expectancy at birth (years) W,Life expectancy at birth (years) M,Healthy life years at birth (years) W,Healthy life years at birth (years) M,People who don't smoke and are not involved in harmful drinking (%) W,People who don't smoke and are not involved in harmful drinking (%) M,People doing physical activities and/or consuming fruits and vegetables (%) W,People doing physical activities and/or consuming fruits and vegetables (%) M,Population without unmet needs for medical examination (%) W,Population without unmet needs for medical examination (%) M,Population without unmet needs for dental examination (%) W,Population without unmet needs for dental examination (%) M
EU-28,67.4,72.0,80.9,64.0,80.4,73.8,87.7,63.5,72.8,55.4,65.7,70.0,61.6,51.9,55.0,43.6,58.2,88.1,92.2,75.4,98.3,,40.8,56.9,33.4,38.3,30.3,8.3,22.8,27.3,63.7,62.6,2249,2809,19.94%,17343,18121,4.29%,15.64%,82.9,84.5,19.8,19.5,25.6,24.7,17.2,16.3,43.1,21.4,37.5,24.7,78.7,33.7,27.5,31.9,12.2,11.4,28.1,71.9,29.3,70.7,28.5,71.5,25.0,75.0,20.3,79.7,39.9,60.1,36.0,64.0,14.8,85.2,67.2,72.3,83.6,78.2,64.2,63.5,72.4,52.2,36.1,40.1,96.6,97.1,96.0,96.3
BE,71.1,74.1,78.2,70.2,88.3,83.3,93.6,71.3,74.3,68.4,65.3,68.9,61.9,55.2,67.8,40.2,61.7,86.3,93.3,70.3,97.9,,38.2,52.6,30.7,35.0,40.1,11.1,29.5,33.2,66.5,66.2,2771,3108,10.84%,21864,23341,6.33%,4.52%,83.4,85.7,26.6,25.9,32.3,29.1,15.6,15.0,54.6,30.3,43.1,28.7,81.2,32.5,32.3,38.7,9.5,9.9,22.7,77.3,40.9,59.1,40.9,59.1,29.6,70.4,11.5,88.5,44.8,55.2,38.7,61.3,11.3,88.7,71.3,77.6,84.0,79.0,63.8,63.7,68.3,50.1,29.5,36.4,97.0,98.1,94.6,95.0
BG,58.8,69.0,83.5,57.0,61.8,50.2,76.1,53.2,55.4,51.0,42.7,55.7,32.6,59.9,53.8,59.9,66.8,77.1,89.0,52.3,98.5,,44.8,55.0,31.6,34.4,18.3,4.1,20.3,31.3,62.3,65.6,830,970,14.43%,9496,10055,5.56%,8.87%,75.8,79.6,12.5,11.8,26.4,18.4,8.4,9.0,31.6,17.1,38.5,25.8,72.9,13.0,11.7,19.5,2.9,2.4,35.9,64.1,23.3,76.7,25.4,74.6,15.7,84.3,57.1,42.9,40.0,60.0,60.0,40.0,21.0,79.0,62.8,70.5,78.5,71.3,67.5,64.0,67.5,46.7,9.4,18.2,96.6,96.7,96.5,96.7
CZ,55.7,67.0,83.5,53.7,76.7,59.8,98.2,59.0,69.9,49.8,57.3,56.8,57.7,26.1,37.8,13.6,34.3,86.3,90.0,72.3,98.7,,48.0,66.0,32.8,38.9,24.6,5.3,11.0,10.6,65.4,60.9,1244,1624,23.40%,13737,14698,6.54%,16.86%,89.4,93.4,29.4,29.7,19.3,19.0,18.2,18.0,40.4,18.0,33.2,19.8,67.4,15.8,22.6,27.8,12.3,11.3,17.1,82.9,20.6,79.4,20.5,79.5,13.4,86.6,0.0,100.0,31.6,68.4,13.3,86.7,7.7,92.3,60.4,63.8,82.1,76.1,64.0,62.7,72.7,54.2,30.1,37.5,97.4,97.2,97.0,96.9
DK,77.5,79.6,88.3,71.8,87.1,83.2,91.2,72.3,81.8,64.0,83.1,86.1,80.2,64.9,74.2,56.5,65.3,89.9,92.4,81.7,96.3,,46.3,56.8,38.0,41.2,41.9,13.2,31.8,50.1,72.9,70.4,2719,3347,18.76%,23089,23371,1.21%,17.56%,87.7,86.7,25.9,23.0,32.8,26.9,37.3,29.5,53.1,27.5,25.0,21.3,82.3,55.0,52.8,50.5,17.3,20.3,37.7,62.3,37.2,62.8,37.9,62.1,28.5,71.5,28.6,71.4,37.7,62.3,43.3,56.7,18.0,82.0,69.3,73.1,82.8,79.0,60.3,60.3,60.7,43.7,68.2,59.1,92.6,92.0,94.1,93.2
DE,66.9,72.1,83.3,62.3,86.0,82.1,90.1,53.7,62.4,46.2,65.0,71.3,59.3,56.6,69.6,49.7,52.4,90.5,92.0,80.9,99.7,,41.8,60.0,36.3,40.3,31.3,9.2,15.8,18.2,67.9,65.5,2602,3354,22.42%,23585,24888,5.24%,17.19%,82.8,84.8,22.5,22.1,19.8,28.1,13.6,15.3,41.3,17.3,25.5,18.7,72.3,29.1,21.8,25.2,15.8,13.3,40.5,59.5,34.6,65.4,31.7,68.3,30.9,69.1,20.0,80.0,38.3,61.7,25.7,74.3,16.4,83.6,63.8,67.1,83.5,78.6,67.3,65.3,63.3,46.6,50.8,53.1,99.3,99.2,98.9,98.8
EE,59.8,71.5,89.8,57.0,69.4,58.3,82.5,55.5,70.1,44.0,74.7,85.9,65.0,34.6,48.5,23.4,36.5,81.9,83.9,70.1,93.5,,51.0,65.4,37.5,39.4,24.9,4.3,15.4,15.8,64.8,65.8,1199,1692,29.14%,13708,14501,5.47%,23.67%,75.2,81.2,19.2,17.9,42.3,26.4,20.7,17.7,41.9,15.5,34.6,31.0,75.8,47.4,33.5,38.4,12.5,11.4,22.8,77.2,27.4,72.6,31.1,68.9,7.9,92.1,18.2,81.8,7.1,92.9,43.3,56.7,9.6,90.4,50.4,55.5,82.2,73.3,59.0,54.4,74.0,43.2,35.4,35.8,84.5,89.3,92.5,93.7
IE,71.3,75.5,81.7,69.8,85.5,81.7,89.5,66.9,77.8,57.6,74.2,76.2,72.1,53.4,44.1,46.4,74.5,90.9,97.1,79.0,97.9,,43.9,60.0,33.1,40.1,33.9,8.3,37.1,43.4,64.1,64.6,2808,3423,17.97%,21197,22538,5.95%,12.02%,83.1,85.7,21.7,21.4,38.8,33.7,17.2,15.9,48.2,23.7,44.1,30.5,88.7,48.0,40.4,48.4,15.4,17.9,21.7,78.3,23.9,76.1,21.8,78.2,17.3,82.7,30.0,70.0,50.0,50.0,47.7,52.3,16.4,83.6,83.5,82.9,83.6,79.9,69.8,67.3,65.8,46.5,48.4,47.2,96.8,96.6,94.9,96.0
EL,51.2,64.2,71.4,57.7,71.4,61.3,83.2,55.7,66.3,46.8,44.7,50.9,39.3,24.3,35.8,14.9,27.0,83.5,93.3,66.6,93.8,,30.7,47.9,29.2,36.0,22.6,7.9,14.4,16.1,52.2,51.0,1669,1971,15.32%,10420,10657,2.22%,13.10%,80.4,80.5,16.7,16.0,23.1,22.9,11.2,11.6,36.0,16.6,38.2,20.2,85.3,16.0,11.0,17.6,6.6,5.7,17.2,82.8,18.4,81.6,20.9,79.1,9.7,90.3,5.6,94.4,11.8,88.2,21.4,78.6,9.1,90.9,71.4,76.8,84.0,78.9,64.7,63.8,70.4,54.2,19.8,24.7,87.8,90.4,88.6,89.2
