"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INCOMEINEQ","GINI","INEQ","A","2012",0.326,
"AUS","INCOMEINEQ","GINI","INEQ","A","2014",0.337,
"AUS","INCOMEINEQ","GINI","INEQ","A","2016",0.33,
"AUT","INCOMEINEQ","GINI","INEQ","A","2007",0.284,
"AUT","INCOMEINEQ","GINI","INEQ","A","2008",0.281,
"AUT","INCOMEINEQ","GINI","INEQ","A","2009",0.289,
"AUT","INCOMEINEQ","GINI","INEQ","A","2010",0.28,
"AUT","INCOMEINEQ","GINI","INEQ","A","2011",0.281,
"AUT","INCOMEINEQ","GINI","INEQ","A","2012",0.275,
"AUT","INCOMEINEQ","GINI","INEQ","A","2013",0.279,
"AUT","INCOMEINEQ","GINI","INEQ","A","2014",0.274,
"AUT","INCOMEINEQ","GINI","INEQ","A","2015",0.276,
"AUT","INCOMEINEQ","GINI","INEQ","A","2016",0.284,
"BEL","INCOMEINEQ","GINI","INEQ","A","2005",0.277,
"BEL","INCOMEINEQ","GINI","INEQ","A","2006",0.268,
"BEL","INCOMEINEQ","GINI","INEQ","A","2007",0.277,
"BEL","INCOMEINEQ","GINI","INEQ","A","2008",0.266,
"BEL","INCOMEINEQ","GINI","INEQ","A","2009",0.272,
"BEL","INCOMEINEQ","GINI","INEQ","A","2010",0.267,
"BEL","INCOMEINEQ","GINI","INEQ","A","2011",0.27,
"BEL","INCOMEINEQ","GINI","INEQ","A","2012",0.265,
"BEL","INCOMEINEQ","GINI","INEQ","A","2013",0.265,
"BEL","INCOMEINEQ","GINI","INEQ","A","2014",0.266,
"BEL","INCOMEINEQ","GINI","INEQ","A","2015",0.268,
"BEL","INCOMEINEQ","GINI","INEQ","A","2016",0.266,
"CAN","INCOMEINEQ","GINI","INEQ","A","2005",0.315,
"CAN","INCOMEINEQ","GINI","INEQ","A","2006",0.316,
"CAN","INCOMEINEQ","GINI","INEQ","A","2007",0.317,
"CAN","INCOMEINEQ","GINI","INEQ","A","2008",0.315,
"CAN","INCOMEINEQ","GINI","INEQ","A","2009",0.316,
"CAN","INCOMEINEQ","GINI","INEQ","A","2010",0.316,
"CAN","INCOMEINEQ","GINI","INEQ","A","2011",0.313,
"CAN","INCOMEINEQ","GINI","INEQ","A","2012",0.317,
"CAN","INCOMEINEQ","GINI","INEQ","A","2013",0.32,
"CAN","INCOMEINEQ","GINI","INEQ","A","2014",0.313,
"CAN","INCOMEINEQ","GINI","INEQ","A","2015",0.318,
"CAN","INCOMEINEQ","GINI","INEQ","A","2016",0.307,
"CAN","INCOMEINEQ","GINI","INEQ","A","2017",0.31,
"CZE","INCOMEINEQ","GINI","INEQ","A","2005",0.261,
"CZE","INCOMEINEQ","GINI","INEQ","A","2006",0.26,
"CZE","INCOMEINEQ","GINI","INEQ","A","2007",0.256,
"CZE","INCOMEINEQ","GINI","INEQ","A","2008",0.259,
"CZE","INCOMEINEQ","GINI","INEQ","A","2009",0.257,
"CZE","INCOMEINEQ","GINI","INEQ","A","2010",0.259,
"CZE","INCOMEINEQ","GINI","INEQ","A","2011",0.257,
"CZE","INCOMEINEQ","GINI","INEQ","A","2012",0.253,
"CZE","INCOMEINEQ","GINI","INEQ","A","2013",0.259,
"CZE","INCOMEINEQ","GINI","INEQ","A","2014",0.257,
"CZE","INCOMEINEQ","GINI","INEQ","A","2015",0.258,
"CZE","INCOMEINEQ","GINI","INEQ","A","2016",0.253,
"DNK","INCOMEINEQ","GINI","INEQ","A","2011",0.251,
"DNK","INCOMEINEQ","GINI","INEQ","A","2012",0.249,
"DNK","INCOMEINEQ","GINI","INEQ","A","2013",0.254,
"DNK","INCOMEINEQ","GINI","INEQ","A","2014",0.256,
"DNK","INCOMEINEQ","GINI","INEQ","A","2015",0.263,
"DNK","INCOMEINEQ","GINI","INEQ","A","2016",0.261,
"FIN","INCOMEINEQ","GINI","INEQ","A","2005",0.265,
"FIN","INCOMEINEQ","GINI","INEQ","A","2006",0.268,
"FIN","INCOMEINEQ","GINI","INEQ","A","2007",0.269,
"FIN","INCOMEINEQ","GINI","INEQ","A","2008",0.264,
"FIN","INCOMEINEQ","GINI","INEQ","A","2009",0.259,
"FIN","INCOMEINEQ","GINI","INEQ","A","2010",0.264,
"FIN","INCOMEINEQ","GINI","INEQ","A","2011",0.264,
"FIN","INCOMEINEQ","GINI","INEQ","A","2012",0.26,
"FIN","INCOMEINEQ","GINI","INEQ","A","2013",0.262,
"FIN","INCOMEINEQ","GINI","INEQ","A","2014",0.257,
"FIN","INCOMEINEQ","GINI","INEQ","A","2015",0.26,
"FIN","INCOMEINEQ","GINI","INEQ","A","2016",0.259,
"FIN","INCOMEINEQ","GINI","INEQ","A","2017",0.266,
"FRA","INCOMEINEQ","GINI","INEQ","A","2012",0.305,
"FRA","INCOMEINEQ","GINI","INEQ","A","2013",0.291,
"FRA","INCOMEINEQ","GINI","INEQ","A","2014",0.293,
"FRA","INCOMEINEQ","GINI","INEQ","A","2015",0.295,
"FRA","INCOMEINEQ","GINI","INEQ","A","2016",0.291,
"DEU","INCOMEINEQ","GINI","INEQ","A","2008",0.285,
"DEU","INCOMEINEQ","GINI","INEQ","A","2011",0.291,
"DEU","INCOMEINEQ","GINI","INEQ","A","2012",0.289,
"DEU","INCOMEINEQ","GINI","INEQ","A","2013",0.292,
"DEU","INCOMEINEQ","GINI","INEQ","A","2014",0.289,
"DEU","INCOMEINEQ","GINI","INEQ","A","2015",0.293,
"DEU","INCOMEINEQ","GINI","INEQ","A","2016",0.294,
"GRC","INCOMEINEQ","GINI","INEQ","A","2005",0.345,
"GRC","INCOMEINEQ","GINI","INEQ","A","2006",0.337,
"GRC","INCOMEINEQ","GINI","INEQ","A","2007",0.329,
"GRC","INCOMEINEQ","GINI","INEQ","A","2008",0.328,
"GRC","INCOMEINEQ","GINI","INEQ","A","2009",0.33,
"GRC","INCOMEINEQ","GINI","INEQ","A","2010",0.336,
"GRC","INCOMEINEQ","GINI","INEQ","A","2011",0.333,
"GRC","INCOMEINEQ","GINI","INEQ","A","2012",0.338,
"GRC","INCOMEINEQ","GINI","INEQ","A","2013",0.342,
"GRC","INCOMEINEQ","GINI","INEQ","A","2014",0.339,
"GRC","INCOMEINEQ","GINI","INEQ","A","2015",0.34,
"GRC","INCOMEINEQ","GINI","INEQ","A","2016",0.333,
"HUN","INCOMEINEQ","GINI","INEQ","A","2006",0.264,
"HUN","INCOMEINEQ","GINI","INEQ","A","2007",0.257,
"HUN","INCOMEINEQ","GINI","INEQ","A","2008",0.246,
"HUN","INCOMEINEQ","GINI","INEQ","A","2009",0.241,
"HUN","INCOMEINEQ","GINI","INEQ","A","2010",0.266,
"HUN","INCOMEINEQ","GINI","INEQ","A","2011",0.27,
"HUN","INCOMEINEQ","GINI","INEQ","A","2012",0.28,
"HUN","INCOMEINEQ","GINI","INEQ","A","2013",0.277,
"HUN","INCOMEINEQ","GINI","INEQ","A","2014",0.282,
"HUN","INCOMEINEQ","GINI","INEQ","A","2015",0.284,
"HUN","INCOMEINEQ","GINI","INEQ","A","2016",0.282,
"ISL","INCOMEINEQ","GINI","INEQ","A","2005",0.273,
"ISL","INCOMEINEQ","GINI","INEQ","A","2006",0.289,
"ISL","INCOMEINEQ","GINI","INEQ","A","2007",0.286,
"ISL","INCOMEINEQ","GINI","INEQ","A","2008",0.305,
"ISL","INCOMEINEQ","GINI","INEQ","A","2009",0.266,
"ISL","INCOMEINEQ","GINI","INEQ","A","2010",0.249,
"ISL","INCOMEINEQ","GINI","INEQ","A","2011",0.252,
"ISL","INCOMEINEQ","GINI","INEQ","A","2012",0.253,
"ISL","INCOMEINEQ","GINI","INEQ","A","2013",0.241,
"ISL","INCOMEINEQ","GINI","INEQ","A","2014",0.246,
"ISL","INCOMEINEQ","GINI","INEQ","A","2015",0.255,
"IRL","INCOMEINEQ","GINI","INEQ","A","2005",0.324,
"IRL","INCOMEINEQ","GINI","INEQ","A","2006",0.316,
"IRL","INCOMEINEQ","GINI","INEQ","A","2007",0.304,
"IRL","INCOMEINEQ","GINI","INEQ","A","2008",0.295,
"IRL","INCOMEINEQ","GINI","INEQ","A","2009",0.312,
"IRL","INCOMEINEQ","GINI","INEQ","A","2010",0.298,
"IRL","INCOMEINEQ","GINI","INEQ","A","2011",0.307,
"IRL","INCOMEINEQ","GINI","INEQ","A","2012",0.31,
"IRL","INCOMEINEQ","GINI","INEQ","A","2013",0.308,
"IRL","INCOMEINEQ","GINI","INEQ","A","2014",0.298,
"IRL","INCOMEINEQ","GINI","INEQ","A","2015",0.297,
"IRL","INCOMEINEQ","GINI","INEQ","A","2016",0.309,
"ITA","INCOMEINEQ","GINI","INEQ","A","2005",0.324,
"ITA","INCOMEINEQ","GINI","INEQ","A","2006",0.324,
"ITA","INCOMEINEQ","GINI","INEQ","A","2007",0.313,
"ITA","INCOMEINEQ","GINI","INEQ","A","2008",0.317,
"ITA","INCOMEINEQ","GINI","INEQ","A","2009",0.315,
"ITA","INCOMEINEQ","GINI","INEQ","A","2010",0.327,
"ITA","INCOMEINEQ","GINI","INEQ","A","2011",0.327,
"ITA","INCOMEINEQ","GINI","INEQ","A","2012",0.33,
"ITA","INCOMEINEQ","GINI","INEQ","A","2013",0.325,
"ITA","INCOMEINEQ","GINI","INEQ","A","2014",0.326,
"ITA","INCOMEINEQ","GINI","INEQ","A","2015",0.333,
"ITA","INCOMEINEQ","GINI","INEQ","A","2016",0.328,
"JPN","INCOMEINEQ","GINI","INEQ","A","2009",0.336,
"JPN","INCOMEINEQ","GINI","INEQ","A","2012",0.33,
"JPN","INCOMEINEQ","GINI","INEQ","A","2015",0.339,
"KOR","INCOMEINEQ","GINI","INEQ","A","2015",0.352,
"KOR","INCOMEINEQ","GINI","INEQ","A","2016",0.355,
"KOR","INCOMEINEQ","GINI","INEQ","A","2017",0.355,
"LUX","INCOMEINEQ","GINI","INEQ","A","2015",0.306,
"LUX","INCOMEINEQ","GINI","INEQ","A","2016",0.304,
"MEX","INCOMEINEQ","GINI","INEQ","A","2012",0.457,
"MEX","INCOMEINEQ","GINI","INEQ","A","2014",0.459,
"MEX","INCOMEINEQ","GINI","INEQ","A","2016",0.458,
"NLD","INCOMEINEQ","GINI","INEQ","A","2011",0.289,
"NLD","INCOMEINEQ","GINI","INEQ","A","2012",0.288,
"NLD","INCOMEINEQ","GINI","INEQ","A","2013",0.287,
"NLD","INCOMEINEQ","GINI","INEQ","A","2014",0.303,
"NLD","INCOMEINEQ","GINI","INEQ","A","2015",0.288,
"NLD","INCOMEINEQ","GINI","INEQ","A","2016",0.285,"P"
"NZL","INCOMEINEQ","GINI","INEQ","A","2011",0.323,
"NZL","INCOMEINEQ","GINI","INEQ","A","2012",0.333,
"NZL","INCOMEINEQ","GINI","INEQ","A","2014",0.349,
"NOR","INCOMEINEQ","GINI","INEQ","A","2008",0.25,
"NOR","INCOMEINEQ","GINI","INEQ","A","2009",0.245,
"NOR","INCOMEINEQ","GINI","INEQ","A","2010",0.249,
"NOR","INCOMEINEQ","GINI","INEQ","A","2011",0.25,
"NOR","INCOMEINEQ","GINI","INEQ","A","2012",0.253,
"NOR","INCOMEINEQ","GINI","INEQ","A","2013",0.252,
"NOR","INCOMEINEQ","GINI","INEQ","A","2014",0.257,
"NOR","INCOMEINEQ","GINI","INEQ","A","2015",0.272,
"NOR","INCOMEINEQ","GINI","INEQ","A","2016",0.262,
"NOR","INCOMEINEQ","GINI","INEQ","A","2017",0.262,
"POL","INCOMEINEQ","GINI","INEQ","A","2005",0.327,
"POL","INCOMEINEQ","GINI","INEQ","A","2006",0.315,
"POL","INCOMEINEQ","GINI","INEQ","A","2007",0.316,
"POL","INCOMEINEQ","GINI","INEQ","A","2008",0.308,
"POL","INCOMEINEQ","GINI","INEQ","A","2009",0.303,
"POL","INCOMEINEQ","GINI","INEQ","A","2010",0.305,
"POL","INCOMEINEQ","GINI","INEQ","A","2011",0.301,
"POL","INCOMEINEQ","GINI","INEQ","A","2012",0.297,
"POL","INCOMEINEQ","GINI","INEQ","A","2013",0.299,
"POL","INCOMEINEQ","GINI","INEQ","A","2014",0.298,
"POL","INCOMEINEQ","GINI","INEQ","A","2015",0.292,
"POL","INCOMEINEQ","GINI","INEQ","A","2016",0.284,
"PRT","INCOMEINEQ","GINI","INEQ","A","2005",0.379,
"PRT","INCOMEINEQ","GINI","INEQ","A","2006",0.369,
"PRT","INCOMEINEQ","GINI","INEQ","A","2007",0.361,
"PRT","INCOMEINEQ","GINI","INEQ","A","2008",0.355,
"PRT","INCOMEINEQ","GINI","INEQ","A","2009",0.337,
"PRT","INCOMEINEQ","GINI","INEQ","A","2010",0.341,
"PRT","INCOMEINEQ","GINI","INEQ","A","2011",0.337,
"PRT","INCOMEINEQ","GINI","INEQ","A","2012",0.337,
"PRT","INCOMEINEQ","GINI","INEQ","A","2013",0.341,
"PRT","INCOMEINEQ","GINI","INEQ","A","2014",0.338,
"PRT","INCOMEINEQ","GINI","INEQ","A","2015",0.336,
"PRT","INCOMEINEQ","GINI","INEQ","A","2016",0.331,
"SVK","INCOMEINEQ","GINI","INEQ","A","2005",0.289,
"SVK","INCOMEINEQ","GINI","INEQ","A","2007",0.245,
"SVK","INCOMEINEQ","GINI","INEQ","A","2008",0.256,
"SVK","INCOMEINEQ","GINI","INEQ","A","2009",0.264,
"SVK","INCOMEINEQ","GINI","INEQ","A","2010",0.263,
"SVK","INCOMEINEQ","GINI","INEQ","A","2011",0.261,
"SVK","INCOMEINEQ","GINI","INEQ","A","2012",0.25,
"SVK","INCOMEINEQ","GINI","INEQ","A","2013",0.269,
"SVK","INCOMEINEQ","GINI","INEQ","A","2014",0.247,
"SVK","INCOMEINEQ","GINI","INEQ","A","2015",0.251,
"SVK","INCOMEINEQ","GINI","INEQ","A","2016",0.241,
"ESP","INCOMEINEQ","GINI","INEQ","A","2007",0.324,
"ESP","INCOMEINEQ","GINI","INEQ","A","2008",0.327,
"ESP","INCOMEINEQ","GINI","INEQ","A","2009",0.333,
"ESP","INCOMEINEQ","GINI","INEQ","A","2010",0.339,
"ESP","INCOMEINEQ","GINI","INEQ","A","2011",0.341,
"ESP","INCOMEINEQ","GINI","INEQ","A","2012",0.334,
"ESP","INCOMEINEQ","GINI","INEQ","A","2013",0.345,
"ESP","INCOMEINEQ","GINI","INEQ","A","2014",0.344,
"ESP","INCOMEINEQ","GINI","INEQ","A","2015",0.345,
"ESP","INCOMEINEQ","GINI","INEQ","A","2016",0.341,
"SWE","INCOMEINEQ","GINI","INEQ","A","2013",0.268,
"SWE","INCOMEINEQ","GINI","INEQ","A","2014",0.274,
"SWE","INCOMEINEQ","GINI","INEQ","A","2015",0.278,
"SWE","INCOMEINEQ","GINI","INEQ","A","2016",0.282,
"SWE","INCOMEINEQ","GINI","INEQ","A","2017",0.282,
"CHE","INCOMEINEQ","GINI","INEQ","A","2006",0.305,
"CHE","INCOMEINEQ","GINI","INEQ","A","2007",0.312,
"CHE","INCOMEINEQ","GINI","INEQ","A","2008",0.306,
"CHE","INCOMEINEQ","GINI","INEQ","A","2009",0.297,
"CHE","INCOMEINEQ","GINI","INEQ","A","2010",0.298,
"CHE","INCOMEINEQ","GINI","INEQ","A","2011",0.289,
"CHE","INCOMEINEQ","GINI","INEQ","A","2012",0.285,
"CHE","INCOMEINEQ","GINI","INEQ","A","2013",0.295,
"CHE","INCOMEINEQ","GINI","INEQ","A","2014",0.297,
