,location,time,gini
0,AUS,2012,0.326
1,AUS,2014,0.337
2,AUS,2016,0.33
3,AUT,2007,0.284
4,AUT,2008,0.281
5,AUT,2009,0.289
6,AUT,2010,0.28
7,AUT,2011,0.281
8,AUT,2012,0.275
9,AUT,2013,0.27899999999999997
10,AUT,2014,0.27399999999999997
11,AUT,2015,0.276
12,AUT,2016,0.284
13,BEL,2005,0.27699999999999997
14,BEL,2006,0.268
15,BEL,2007,0.27699999999999997
16,BEL,2008,0.266
17,BEL,2009,0.272
18,BEL,2010,0.267
19,BEL,2011,0.27
20,BEL,2012,0.265
21,BEL,2013,0.265
22,BEL,2014,0.266
23,BEL,2015,0.268
24,BEL,2016,0.266
25,CAN,2005,0.315
26,CAN,2006,0.316
27,CAN,2007,0.317
28,CAN,2008,0.315
29,CAN,2009,0.316
30,CAN,2010,0.316
31,CAN,2011,0.313
32,CAN,2012,0.317
33,CAN,2013,0.32
34,CAN,2014,0.313
35,CAN,2015,0.318
36,CAN,2016,0.307
37,CAN,2017,0.31
38,CZE,2005,0.261
39,CZE,2006,0.26
40,CZE,2007,0.256
41,CZE,2008,0.259
42,CZE,2009,0.257
43,CZE,2010,0.259
44,CZE,2011,0.257
45,CZE,2012,0.253
46,CZE,2013,0.259
47,CZE,2014,0.257
48,CZE,2015,0.258
49,CZE,2016,0.253
50,DNK,2011,0.251
51,DNK,2012,0.249
52,DNK,2013,0.254
53,DNK,2014,0.256
54,DNK,2015,0.263
55,DNK,2016,0.261
56,FIN,2005,0.265
57,FIN,2006,0.268
58,FIN,2007,0.26899999999999996
59,FIN,2008,0.264
60,FIN,2009,0.259
61,FIN,2010,0.264
62,FIN,2011,0.264
63,FIN,2012,0.26
64,FIN,2013,0.262
65,FIN,2014,0.257
66,FIN,2015,0.26
67,FIN,2016,0.259
68,FIN,2017,0.266
69,FRA,2012,0.305
70,FRA,2013,0.29100000000000004
71,FRA,2014,0.293
72,FRA,2015,0.295
73,FRA,2016,0.29100000000000004
74,DEU,2008,0.285
75,DEU,2011,0.29100000000000004
76,DEU,2012,0.289
77,DEU,2013,0.292
78,DEU,2014,0.289
79,DEU,2015,0.293
80,DEU,2016,0.294
81,GRC,2005,0.345
82,GRC,2006,0.337
83,GRC,2007,0.32899999999999996
84,GRC,2008,0.32799999999999996
85,GRC,2009,0.33
86,GRC,2010,0.336
87,GRC,2011,0.33299999999999996
88,GRC,2012,0.33799999999999997
89,GRC,2013,0.342
90,GRC,2014,0.33899999999999997
91,GRC,2015,0.34
92,GRC,2016,0.33299999999999996
93,HUN,2006,0.264
94,HUN,2007,0.257
95,HUN,2008,0.24600000000000002
96,HUN,2009,0.24100000000000002
97,HUN,2010,0.266
98,HUN,2011,0.27
99,HUN,2012,0.28
100,HUN,2013,0.27699999999999997
101,HUN,2014,0.282
102,HUN,2015,0.284
103,HUN,2016,0.282
104,ISL,2005,0.273
105,ISL,2006,0.289
106,ISL,2007,0.28600000000000003
107,ISL,2008,0.305
108,ISL,2009,0.266
109,ISL,2010,0.249
110,ISL,2011,0.252
111,ISL,2012,0.253
112,ISL,2013,0.24100000000000002
113,ISL,2014,0.24600000000000002
114,ISL,2015,0.255
115,IRL,2005,0.324
116,IRL,2006,0.316
117,IRL,2007,0.304
118,IRL,2008,0.295
119,IRL,2009,0.312
120,IRL,2010,0.298
121,IRL,2011,0.307
122,IRL,2012,0.31
123,IRL,2013,0.308
124,IRL,2014,0.298
125,IRL,2015,0.297
126,IRL,2016,0.309
127,ITA,2005,0.324
128,ITA,2006,0.324
129,ITA,2007,0.313
130,ITA,2008,0.317
131,ITA,2009,0.315
132,ITA,2010,0.327
133,ITA,2011,0.327
134,ITA,2012,0.33
135,ITA,2013,0.325
136,ITA,2014,0.326
137,ITA,2015,0.33299999999999996
138,ITA,2016,0.32799999999999996
139,JPN,2009,0.336
140,JPN,2012,0.33
141,JPN,2015,0.33899999999999997
142,KOR,2015,0.35200000000000004
143,KOR,2016,0.355
144,KOR,2017,0.355
145,LUX,2015,0.306
146,LUX,2016,0.304
147,MEX,2012,0.457
148,MEX,2014,0.45899999999999996
149,MEX,2016,0.45799999999999996
150,NLD,2011,0.289
151,NLD,2012,0.28800000000000003
152,NLD,2013,0.287
153,NLD,2014,0.303
154,NLD,2015,0.28800000000000003
155,NLD,2016,0.285
156,NZL,2011,0.32299999999999995
157,NZL,2012,0.33299999999999996
158,NZL,2014,0.349
159,NOR,2008,0.25
160,NOR,2009,0.245
161,NOR,2010,0.249
162,NOR,2011,0.25
163,NOR,2012,0.253
164,NOR,2013,0.252
165,NOR,2014,0.257
166,NOR,2015,0.272
167,NOR,2016,0.262
168,NOR,2017,0.262
169,POL,2005,0.327
170,POL,2006,0.315
171,POL,2007,0.316
172,POL,2008,0.308
173,POL,2009,0.303
174,POL,2010,0.305
175,POL,2011,0.301
176,POL,2012,0.297
177,POL,2013,0.299
178,POL,2014,0.298
179,POL,2015,0.292
180,POL,2016,0.284
181,PRT,2005,0.379
182,PRT,2006,0.369
183,PRT,2007,0.361
184,PRT,2008,0.355
185,PRT,2009,0.337
186,PRT,2010,0.341
187,PRT,2011,0.337
188,PRT,2012,0.337
189,PRT,2013,0.341
190,PRT,2014,0.33799999999999997
191,PRT,2015,0.336
192,PRT,2016,0.331
193,SVK,2005,0.289
194,SVK,2007,0.245
195,SVK,2008,0.256
196,SVK,2009,0.264
197,SVK,2010,0.263
198,SVK,2011,0.261
199,SVK,2012,0.25
200,SVK,2013,0.26899999999999996
201,SVK,2014,0.247
202,SVK,2015,0.251
203,SVK,2016,0.24100000000000002
204,ESP,2007,0.324
205,ESP,2008,0.327
206,ESP,2009,0.33299999999999996
207,ESP,2010,0.33899999999999997
208,ESP,2011,0.341
209,ESP,2012,0.33399999999999996
210,ESP,2013,0.345
211,ESP,2014,0.344
212,ESP,2015,0.345
213,ESP,2016,0.341
214,SWE,2013,0.268
215,SWE,2014,0.27399999999999997
216,SWE,2015,0.278
217,SWE,2016,0.282
218,SWE,2017,0.282
219,CHE,2006,0.305
220,CHE,2007,0.312
221,CHE,2008,0.306
222,CHE,2009,0.297
223,CHE,2010,0.298
224,CHE,2011,0.289
225,CHE,2012,0.285
226,CHE,2013,0.295
227,CHE,2014,0.297
228,CHE,2015,0.29600000000000004
229,TUR,2011,0.40299999999999997
230,TUR,2012,0.39899999999999997
231,TUR,2013,0.39
232,TUR,2014,0.39799999999999996
233,TUR,2015,0.40399999999999997
234,GBR,2005,0.359
235,GBR,2006,0.364
236,GBR,2007,0.373
237,GBR,2008,0.369
238,GBR,2009,0.374
239,GBR,2010,0.35100000000000003
240,GBR,2011,0.354
241,GBR,2012,0.35100000000000003
242,GBR,2013,0.358
243,GBR,2014,0.35600000000000004
244,GBR,2015,0.36
245,GBR,2016,0.35100000000000003
246,GBR,2017,0.35700000000000004
247,USA,2013,0.396
248,USA,2014,0.39399999999999996
249,USA,2015,0.39
250,USA,2016,0.391
251,USA,2017,0.39
252,CHL,2009,0.48
253,CHL,2011,0.47100000000000003
254,CHL,2013,0.465
255,CHL,2015,0.45399999999999996
256,CHL,2017,0.46
257,EST,2013,0.35700000000000004
258,EST,2014,0.34600000000000003
259,EST,2015,0.33
260,EST,2016,0.314
261,ISR,2011,0.371
262,ISR,2012,0.371
263,ISR,2013,0.36
264,ISR,2014,0.365
265,ISR,2015,0.36
266,ISR,2016,0.34600000000000003
267,ISR,2017,0.344
268,SVN,2005,0.24
269,SVN,2006,0.237
270,SVN,2007,0.239
271,SVN,2008,0.23399999999999999
272,SVN,2009,0.245
273,SVN,2010,0.244
274,SVN,2011,0.244
275,SVN,2012,0.249
276,SVN,2013,0.254
277,SVN,2014,0.251
278,SVN,2015,0.25
279,SVN,2016,0.244
280,LVA,2005,0.392
281,LVA,2006,0.35100000000000003
282,LVA,2007,0.374
283,LVA,2008,0.373
284,LVA,2009,0.354
285,LVA,2010,0.34700000000000003
286,LVA,2011,0.35200000000000004
287,LVA,2012,0.34700000000000003
288,LVA,2013,0.35100000000000003
289,LVA,2014,0.35
290,LVA,2015,0.34600000000000003
291,LVA,2016,0.34600000000000003
292,LTU,2005,0.35200000000000004
293,LTU,2006,0.32899999999999996
294,LTU,2007,0.33799999999999997
295,LTU,2008,0.358
296,LTU,2009,0.366
297,LTU,2010,0.32899999999999996
298,LTU,2011,0.322
299,LTU,2012,0.35
300,LTU,2013,0.35200000000000004
301,LTU,2014,0.381
302,LTU,2015,0.37200000000000005
303,LTU,2016,0.37799999999999995
