,location,time,gender_pay_gap
0,AUS,2005,15.777777777999999
1,AUS,2006,16.666666667
2,AUS,2007,15.4
3,AUS,2008,11.937377690999998
4,AUS,2009,16.363636364
5,AUS,2010,14.04293381
6,AUS,2011,15.966386555
7,AUS,2012,13.75
8,AUS,2013,18.0
9,AUS,2014,15.384615385
10,AUS,2015,13.0
11,AUS,2016,11.538461538
12,AUS,2017,11.664190193
13,AUS,2018,11.714285714
14,AUT,2005,22.032085753
15,AUT,2006,21.855130427
16,AUT,2007,21.634276365999998
17,AUT,2008,20.917320274
18,AUT,2009,19.355965917
19,AUT,2010,19.188862682
20,AUT,2011,18.550554118
21,AUT,2012,18.185056842999998
22,AUT,2013,18.053211411
23,AUT,2014,17.728884245
24,AUT,2015,17.04325299
25,AUT,2016,15.670899643
26,AUT,2017,15.38215397
27,BEL,2005,11.511092507
28,BEL,2006,10.253267974
29,BEL,2007,9.8736176935
30,BEL,2008,8.9157536834
31,BEL,2009,7.4804614812
32,BEL,2010,7.043795620399999
33,BEL,2011,5.8381088825
34,BEL,2012,6.411149825800001
35,BEL,2013,5.912863070499999
36,BEL,2014,3.2989003665
37,BEL,2015,4.672
38,BEL,2016,3.7012987013
39,CAN,2005,21.25
40,CAN,2006,21.123321123
41,CAN,2007,20.808235294
42,CAN,2008,20.454545455
43,CAN,2009,20.131868132
44,CAN,2010,18.977469670999998
45,CAN,2011,19.175531915
46,CAN,2012,19.511231281
47,CAN,2013,19.30323498
48,CAN,2014,19.229
49,CAN,2015,18.62745098
50,CAN,2016,18.221153846
51,CAN,2017,18.17322239
52,CAN,2018,18.518518519
53,CZE,2005,15.93892946
54,CZE,2006,15.351766205999999
55,CZE,2007,16.931531878
56,CZE,2008,17.873019877
57,CZE,2009,15.105017965
58,CZE,2010,15.798503074000001
59,CZE,2011,16.329656698
60,CZE,2012,15.262979875
61,CZE,2013,15.378835315999998
62,CZE,2014,16.254560195
63,CZE,2015,16.455154158
64,CZE,2016,16.023430838
65,CZE,2017,15.614010894000002
66,CZE,2018,15.127413864000001
67,DNK,2005,10.167330437999999
68,DNK,2006,10.172061258
69,DNK,2007,9.8502979507
70,DNK,2008,10.183549034
71,DNK,2009,10.172005061
72,DNK,2010,8.895098479
73,DNK,2011,7.9471972536
74,DNK,2012,6.9998448762
75,DNK,2013,6.7689119452
76,DNK,2014,6.3238656948
77,DNK,2015,5.8360481127999995
78,DNK,2016,5.732628038400001
79,DNK,2017,5.2966919656
80,FIN,2005,18.941694033
81,FIN,2006,19.374794537
82,FIN,2007,21.376904093
83,FIN,2008,21.233952657
84,FIN,2009,19.675672792
85,FIN,2010,18.876999846
86,FIN,2011,18.607617095
87,FIN,2012,18.726074525999998
88,FIN,2013,20.178432711
89,FIN,2014,19.609079445
90,FIN,2015,18.055981324
91,FIN,2016,16.47225837
92,FIN,2017,17.717920638
93,FRA,2006,9.3907466789
94,FRA,2010,9.118807540599999
95,FRA,2014,9.8721023181
96,DEU,2005,16.347569955999997
97,DEU,2006,18.128654971
98,DEU,2007,16.715542522
99,DEU,2008,16.737517957
100,DEU,2009,16.524216524
101,DEU,2010,16.694715584
