,time,location,prct_f_employed_ICT
3,2009,European Union - 28 countries (2013-2020),"22,2"
7,2009,European Union - 27 countries (from 2020),"21,9"
11,2009,European Union - 15 countries (1995-2004),"20,0"
15,2009,Euro area - 19 countries  (from 2015),"19,3"
19,2009,Belgium,"15,8"
23,2009,Bulgaria,"38,3"
27,2009,Czechia,"23,7"
31,2009,Denmark,"19,9"
35,2009,Germany (until 1990 former territory of the FRG),"15,7"
39,2009,Estonia,"40,9"
43,2009,Ireland,"25,9"
47,2009,Greece,"27,2"
51,2009,Spain,"22,3"
55,2009,France,"19,8"
59,2009,Croatia,"19,4"
63,2009,Italy,"16,7"
67,2009,Cyprus,"21,8"
71,2009,Latvia,"32,1"
75,2009,Lithuania,"35,5"
79,2009,Luxembourg,"13,7"
83,2009,Hungary,"36,4"
87,2009,Malta,"24,3"
91,2009,Netherlands,"15,6"
95,2009,Austria,"19,3"
99,2009,Poland,"31,4"
103,2009,Portugal,"23,3"
107,2009,Romania,"34,0"
111,2009,Slovenia,"24,8"
115,2009,Slovakia,"33,8"
119,2009,Finland,"27,6"
123,2009,Sweden,"21,0"
127,2009,United Kingdom,"23,1"
131,2009,Iceland,"25,9"
135,2009,Norway,"15,6"
139,2009,Switzerland,"18,0"
143,2009,Montenegro,:
147,2009,North Macedonia,"18,2"
151,2009,Serbia,:
155,2009,Turkey,"21,2"
159,2010,European Union - 28 countries (2013-2020),"21,7"
163,2010,European Union - 27 countries (from 2020),"20,8"
167,2010,European Union - 15 countries (1995-2004),"19,6"
171,2010,Euro area - 19 countries  (from 2015),"18,2"
175,2010,Belgium,"17,1"
179,2010,Bulgaria,"34,8"
183,2010,Czechia,"21,8"
187,2010,Denmark,"20,6"
191,2010,Germany (until 1990 former territory of the FRG),"15,2"
195,2010,Estonia,"40,1"
199,2010,Ireland,"23,7"
203,2010,Greece,"24,8"
207,2010,Spain,"17,6"
211,2010,France,"19,0"
215,2010,Croatia,"21,2"
219,2010,Italy,"16,2"
223,2010,Cyprus,"22,5"
227,2010,Latvia,"29,5"
231,2010,Lithuania,"32,4"
235,2010,Luxembourg,"12,2"
239,2010,Hungary,"39,0"
243,2010,Malta,"28,4"
247,2010,Netherlands,"14,0"
251,2010,Austria,"19,6"
255,2010,Poland,"31,1"
259,2010,Portugal,"22,9"
263,2010,Romania,"30,9"
267,2010,Slovenia,"26,2"
271,2010,Slovakia,"36,1"
275,2010,Finland,"24,5"
279,2010,Sweden,"20,7"
283,2010,United Kingdom,"24,6"
287,2010,Iceland,"25,6"
291,2010,Norway,"16,2"
295,2010,Switzerland,"17,3"
299,2010,Montenegro,:
303,2010,North Macedonia,"18,4"
307,2010,Serbia,:
311,2010,Turkey,"22,5"
315,2011,European Union - 28 countries (2013-2020),"15,8"
319,2011,European Union - 27 countries (from 2020),"15,9"
323,2011,European Union - 15 countries (1995-2004),"15,9"
327,2011,Euro area - 19 countries  (from 2015),"15,8"
331,2011,Belgium,"15,2"
335,2011,Bulgaria,"33,4"
339,2011,Czechia,"10,6"
343,2011,Denmark,"17,2"
347,2011,Germany (until 1990 former territory of the FRG),"13,5"
351,2011,Estonia,"23,0"
355,2011,Ireland,"23,9"
359,2011,Greece,"15,4"
363,2011,Spain,"19,3"
367,2011,France,"18,3"
371,2011,Croatia,"13,3"
375,2011,Italy,"14,4"
379,2011,Cyprus,"17,6"
383,2011,Latvia,"24,8"
387,2011,Lithuania,:
391,2011,Luxembourg,"12,5"
395,2011,Hungary,"9,5"
399,2011,Malta,"16,3"
403,2011,Netherlands,"12,1"
407,2011,Austria,"13,2"
411,2011,Poland,"14,1"
415,2011,Portugal,"14,6"
419,2011,Romania,"21,7"
423,2011,Slovenia,"15,8"
427,2011,Slovakia,"16,5"
431,2011,Finland,"19,4"
435,2011,Sweden,"19,0"
439,2011,United Kingdom,"15,7"
443,2011,Iceland,"15,1"
447,2011,Norway,"15,3"
451,2011,Switzerland,"12,6"
455,2011,Montenegro,:
459,2011,North Macedonia,"20,5"
463,2011,Serbia,:
467,2011,Turkey,"10,0"
471,2012,European Union - 28 countries (2013-2020),"16,2"
475,2012,European Union - 27 countries (from 2020),"16,3"
479,2012,European Union - 15 countries (1995-2004),"16,2"
483,2012,Euro area - 19 countries  (from 2015),"16,1"
487,2012,Belgium,"17,1"
491,2012,Bulgaria,"32,9"
495,2012,Czechia,"12,3"
499,2012,Denmark,"17,3"
503,2012,Germany (until 1990 former territory of the FRG),"15,2"
507,2012,Estonia,"25,8"
511,2012,Ireland,"22,5"
515,2012,Greece,"18,3"
519,2012,Spain,"16,4"
523,2012,France,"18,4"
527,2012,Croatia,"14,8"
531,2012,Italy,"15,9"
535,2012,Cyprus,"17,9"
539,2012,Latvia,"20,9"
543,2012,Lithuania,"23,2"
547,2012,Luxembourg,"10,5"
551,2012,Hungary,"10,6"
555,2012,Malta,"10,5"
559,2012,Netherlands,"13,1"
563,2012,Austria,"16,7"
567,2012,Poland,"16,0"
571,2012,Portugal,"11,9"
575,2012,Romania,"21,3"
579,2012,Slovenia,"13,9"
583,2012,Slovakia,"12,9"
587,2012,Finland,"17,5"
591,2012,Sweden,"19,4"
595,2012,United Kingdom,"15,8"
599,2012,Iceland,"17,4"
603,2012,Norway,"14,4"
607,2012,Switzerland,"12,8"
611,2012,Montenegro,:
615,2012,North Macedonia,"22,0"
619,2012,Serbia,:
623,2012,Turkey,"11,3"
627,2013,European Union - 28 countries (2013-2020),"16,5"
631,2013,European Union - 27 countries (from 2020),"16,4"
635,2013,European Union - 15 countries (1995-2004),"16,8"
639,2013,Euro area - 19 countries  (from 2015),"16,5"
643,2013,Belgium,"15,5"
647,2013,Bulgaria,"27,1"
651,2013,Czechia,"9,9"
655,2013,Denmark,"17,2"
659,2013,Germany (until 1990 former territory of the FRG),"15,6"
663,2013,Estonia,"19,6"
667,2013,Ireland,"23,2"
671,2013,Greece,"18,0"
675,2013,Spain,"19,1"
679,2013,France,"19,3"
683,2013,Croatia,"17,0"
687,2013,Italy,"14,1"
691,2013,Cyprus,"14,1"
695,2013,Latvia,"20,5"
699,2013,Lithuania,"17,6"
703,2013,Luxembourg,"11,5"
707,2013,Hungary,"10,1"
711,2013,Malta,"13,9"
715,2013,Netherlands,"14,4"
719,2013,Austria,"14,0"
723,2013,Poland,"14,2"
727,2013,Portugal,"11,6"
731,2013,Romania,"23,3"
735,2013,Slovenia,"12,7"
739,2013,Slovakia,"9,1"
743,2013,Finland,"20,1"
747,2013,Sweden,"19,6"
751,2013,United Kingdom,"16,8"
755,2013,Iceland,"17,1"
759,2013,Norway,"16,6"
763,2013,Switzerland,"14,1"
767,2013,Montenegro,:
771,2013,North Macedonia,"21,0"
775,2013,Serbia,"18,0"
779,2013,Turkey,"13,3"
783,2014,European Union - 28 countries (2013-2020),"16,0"
787,2014,European Union - 27 countries (from 2020),"15,8"
